OBJECTID;NumeroZona;NomeZona;NumeroMuni;NomeMunici;NumDistrit;NomeDistri;Area_ha_2;ORIG_FID;COORD_X;COORD_Y
270;270;Campo Belo;36;S?o Paulo;15;Campo Belo;138.5700073;270;-46.6685830438697;-23.6175847670568
271;271;Congonhas;36;S?o Paulo;15;Campo Belo;179.4199982;271;-46.656356501383;-23.6274135618986
272;272;Jardim Aeroporto;36;S?o Paulo;15;Campo Belo;198.5500031;272;-46.6615810423042;-23.6346980120388
273;273;Vila Santa Catarina;36;S?o Paulo;37;Jabaquara;325.7099915;273;-46.6599339351333;-23.6495501581201
274;274;Jabaquara;36;S?o Paulo;37;Jabaquara;288.7200012;274;-46.6464925461578;-23.6434757767506
275;275;Cidade Vargas;36;S?o Paulo;37;Jabaquara;347.4500122;275;-46.6344287203907;-23.6404744648716
276;276;Jardim Bom Clima;36;S?o Paulo;37;Jabaquara;445.9200134;276;-46.6432257778899;-23.6622162517758
277;277;Cupec?;36;S?o Paulo;22;Cidade Ademar;416.8900146;277;-46.6689141381996;-23.6609988908223
278;278;Jardim Miriam;36;S?o Paulo;22;Cidade Ademar;513.9400024;278;-46.6442752531264;-23.6784555317516
279;279;Vila Mission?ria;36;S?o Paulo;22;Cidade Ademar;295.3999939;279;-46.660277855668;-23.6821716328812
280;280;Jurubatuba;36;S?o Paulo;16;Campo Grande;482.5899963;280;-46.6965273948311;-23.6706242146423
281;281;Vila S?o Pedro;36;S?o Paulo;16;Campo Grande;312.5799866;281;-46.6840762438536;-23.6635601639326
282;282;Campo Grande;36;S?o Paulo;16;Campo Grande;272.3599854;282;-46.6751954876188;-23.6796699763369
283;283;Vila Sabar?;36;S?o Paulo;16;Campo Grande;234.5599976;283;-46.6858741183206;-23.6889858919539
284;284;Mar Paulista;36;S?o Paulo;59;Pedreira;548.6599731;284;-46.6640343167262;-23.6962934421532
285;285;Pedreira;36;S?o Paulo;59;Pedreira;1302.689941;285;-46.6434763265904;-23.7107629401035
286;286;Vila Socorro;36;S?o Paulo;81;Socorro;293.2600098;286;-46.7150498818234;-23.6682105179036
287;287;Parque Interlagos;36;S?o Paulo;81;Socorro;935.6599731;287;-46.7130543041495;-23.6905579848974
288;288;Jardim Represa;36;S?o Paulo;23;Cidade Dutra;783.7299805;288;-46.7160500086944;-23.7239684704212
289;289;Rio Bonito;36;S?o Paulo;23;Cidade Dutra;495.8200073;289;-46.6960059430793;-23.7090145712486
290;290;SESC Interlagos;36;S?o Paulo;23;Cidade Dutra;736.4799805;290;-46.6796438688747;-23.7175753601984
291;291;Jardim Presidente;36;S?o Paulo;23;Cidade Dutra;762.539978;291;-46.720051841386;-23.7550945995947
292;292;Vila Natal;36;S?o Paulo;30;Graja?;415.0899963;292;-46.7030980614753;-23.7616700327425
293;293;Graja?;36;S?o Paulo;30;Graja?;540.7000122;293;-46.6870950037629;-23.7450660709633
294;294;Cocaia;36;S?o Paulo;30;Graja?;1093.329956;294;-46.6618790051468;-23.743605689169
295;295;Belmira Marin;36;S?o Paulo;30;Graja?;1236.829956;295;-46.6783411311169;-23.7694548102221
296;296;Boror?;36;S?o Paulo;30;Graja?;5992.560059;296;-46.6632948413286;-23.8079310146457
297;297;Jaceguava;36;S?o Paulo;56;Parelheiros;3512.689941;297;-46.758787307567;-23.7618928596781
298;298;Parelheiros;36;S?o Paulo;56;Parelheiros;11667.08008;298;-46.7375684741593;-23.8278098826693
299;299;Marsilac;36;S?o Paulo;52;Marsilac;20795.96094;299;-46.7076548259138;-23.9347034737764
300;300;Granja Julieta;36;S?o Paulo;72;Santo Amaro;616.8800049;300;-46.7063158191968;-23.6341152083363
301;301;Ch?cara Flora;36;S?o Paulo;72;Santo Amaro;452.25;301;-46.6858766765158;-23.6407836798795
302;302;Santo Amaro;36;S?o Paulo;72;Santo Amaro;257.1099854;302;-46.6997429608059;-23.6514862872138
303;303;Vila Miranda;36;S?o Paulo;72;Santo Amaro;271.1499939;303;-46.7148654785526;-23.6526513546154
304;304;Jardim S?o Lu?s;36;S?o Paulo;45;Jardim S?o Lu?s;408.4500122;304;-46.7445126759493;-23.650682355245
305;305;Centro Empresarial;36;S?o Paulo;45;Jardim S?o Lu?s;675.289978;305;-46.7397898706291;-23.6625742120576
306;306;Guarapiranga;36;S?o Paulo;45;Jardim S?o Lu?s;1513.25;306;-46.7373089250855;-23.6963121980076
307;307;Jardim Capela;36;S?o Paulo;42;Jardim ?ngela;2022.050049;307;-46.7629982526224;-23.7246117766343
308;308;Riviera;36;S?o Paulo;42;Jardim ?ngela;798.789978;308;-46.7732642912834;-23.7071869655945
309;309;Jardim Turquesa;36;S?o Paulo;42;Jardim ?ngela;282.8699951;309;-46.7868455526497;-23.6963268725331
310;310;Morro do ?ndio;36;S?o Paulo;42;Jardim ?ngela;114.6399994;310;-46.7744479509269;-23.6838801162684
311;311;Jardim ?ngela;36;S?o Paulo;42;Jardim ?ngela;463.769989;311;-46.7609855600063;-23.6851954872084
312;312;Cap?o Redondo;36;S?o Paulo;19;Cap?o Redondo;219.3899994;312;-46.7621764882063;-23.6594395125037
313;313;Jardim S?nia Ing?;36;S?o Paulo;19;Cap?o Redondo;105.3799973;313;-46.7685084629041;-23.6735595930915
314;314;Adventista;36;S?o Paulo;19;Cap?o Redondo;545.2600098;314;-46.7842940228433;-23.677146230167
315;315;Parque Fernanda;36;S?o Paulo;19;Cap?o Redondo;512.2700195;315;-46.7858060081295;-23.661677304606
316;316;Morumbi;36;S?o Paulo;55;Morumbi;271.4599915;316;-46.7126163005007;-23.5885323202558
317;317;J?quei Clube;36;S?o Paulo;55;Morumbi;333.2399902;317;-46.6995764280992;-23.585514836455
318;318;Fazenda Morumbi;36;S?o Paulo;55;Morumbi;320.730011;318;-46.704648765867;-23.6067485490215
319;319;Real Parque;36;S?o Paulo;55;Morumbi;223.4199982;319;-46.7178701215725;-23.6043917891078
320;320;Parais?polis;36;S?o Paulo;85;Vila Andrade;361.9500122;320;-46.7178315810921;-23.6192517317112
321;321;Jardim Vit?ria R?gia;36;S?o Paulo;85;Vila Andrade;370.1799927;321;-46.728043764046;-23.6322722966447
322;322;Vila Suzana;36;S?o Paulo;85;Vila Andrade;300.5;322;-46.739955401858;-23.6257813221649
323;323;Parque Arariba;36;S?o Paulo;17;Campo Limpo;346.5899963;323;-46.7486184359333;-23.6374387755356
324;324;Jardim Mitsutani;36;S?o Paulo;17;Campo Limpo;349.3099976;324;-46.7771888763298;-23.6429769276381
325;325;Pirajussara;36;S?o Paulo;17;Campo Limpo;270.0499878;325;-46.7644564495065;-23.6313292572856
326;326;Jardim Umarizal;36;S?o Paulo;17;Campo Limpo;294.9100037;326;-46.7587250234465;-23.6267705513898
327;327;Portal do Morumbi;36;S?o Paulo;96;Vila S?nia;151.4299927;327;-46.732415311656;-23.6088429694268
328;328;Jardim Jussara;36;S?o Paulo;96;Vila S?nia;231.5500031;328;-46.7441719739443;-23.6066747624152
329;329;Vila S?nia;36;S?o Paulo;96;Vila S?nia;348.4400024;329;-46.7304765667305;-23.5948036443516
330;330;Jardim Maria do Carmo;36;S?o Paulo;96;Vila S?nia;277.5499878;330;-46.7484789941478;-23.5924109270047
331;331;Jardim Cambar?;36;S?o Paulo;66;Raposo Tavares;480.2000122;331;-46.7721560481472;-23.5928167475381
332;332;Jardim Jo?o XXIII;36;S?o Paulo;66;Raposo Tavares;467.6499939;332;-46.7945847887722;-23.5962875124153
333;333;Raposo Tavares;36;S?o Paulo;66;Raposo Tavares;271.3399963;333;-46.7918782978833;-23.5833408635091
334;334;Rio Pequeno;36;S?o Paulo;68;Rio Pequeno;245.75;334;-46.7467875834214;-23.5687280943892
335;335;Jardim Ester Yolanda;36;S?o Paulo;68;Rio Pequeno;264.9299927;335;-46.7582068403199;-23.5778588844959
336;336;Jardim Adalgiza;36;S?o Paulo;68;Rio Pequeno;467.1300049;336;-46.7558702273923;-23.5605904182205
337;337;Parque Continental;36;S?o Paulo;40;Jaguar?;226.3800049;337;-46.7525834240459;-23.5478061411353
338;338;Jaguar?;36;S?o Paulo;40;Jaguar?;430.4400024;338;-46.7461940372902;-23.541070399505
339;339;Cidade Universit?ria;36;S?o Paulo;12;Butant?;584.5599976;339;-46.7275242207106;-23.559147864627
340;340;Butant?;36;S?o Paulo;12;Butant?;207.1100006;340;-46.7060875041747;-23.5673766362546
341;341;Jardim Caxingui;36;S?o Paulo;12;Butant?;180.0800018;341;-46.7205144067317;-23.5788189421441
342;342;Jardim Bonfiglioli;36;S?o Paulo;12;Butant?;319.9700012;342;-46.7369179192649;-23.5794401400379
